university_name,country,teaching_score,international_score,research_score,grad_undergrad_ratio
Harvard University,United States of America,99.7,72.4,98.7,
California Institute of Technology,United States of America,97.7,54.6,98,33 : 67
Massachusetts Institute of Technology,United States of America,97.8,82.3,91.4,37 : 63
Stanford University,United States of America,98.3,29.5,98.1,42:58:00
Princeton University,United States of America,90.9,70.3,95.4,45:55:00
University of Cambridge,United Kingdom,90.5,77.7,94.1,46:54:00
University of Oxford,United Kingdom,88.2,77.2,93.9,46:54:00
"University of California, Berkeley",United States of America,84.2,39.6,99.3,50:50:00
Imperial College London,United Kingdom,89.2,90,94.5,37 : 63
Yale University,United States of America,92.1,59.2,89.7,50:50:00
"University of California, Los Angeles",United States of America,83,48.1,92.9,52:48:00
University of Chicago,United States of America,79.1,62.8,87.9,42:58:00
Johns Hopkins University,United States of America,80.9,58.5,89.2,50:50:00
Cornell University,United States of America,82.2,62.4,88.8,48:52:00
ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.5,93.7,87.8,31 : 69
University of Michigan,United States of America,83.9,53.3,89.1,48:52:00
University of Toronto,Canada,75.8,55,87.9,
Columbia University,United States of America,73.8,90.9,73.8,
University of Pennsylvania,United States of America,71.8,32.9,82.7,51:49:00
Carnegie Mellon University,United States of America,70.3,39.1,79.3,39 : 61
University of Hong Kong,Hong Kong,68.4,91.4,71.4,53:47:00
University College London,United Kingdom,74,90.8,81.6,56:44:00
University of Washington,United States of America,68.2,49,77.1,53:47:00
Duke University,United States of America,66.8,49.4,71.5,49:51:00
Northwestern University,United States of America,64.5,60.5,68.8,48:52:00
University of Tokyo,Japan,87.7,18.4,91.9,
Georgia Institute of Technology,United States of America,67.9,73.2,72.6,31 : 69
Pohang University of Science and Technology,South Korea,69.5,32.6,62.5,0.888888889
"University of California, Santa Barbara",United States of America,56.6,64.3,68,52:48:00
University of British Columbia,Canada,65.1,93.3,74.8,54:46:00
University of North Carolina at Chapel Hill,United States of America,70.9,21.5,75.1,58:42:00
"University of California, San Diego",United States of America,59.8,31.6,76.3,48:52:00
University of Illinois at Urbana-Champaign,United States of America,68.1,55.9,80.9,47:53:00
National University of Singapore,Singapore,65.5,97.8,72.6,49:51:00
